times,best_arm_counter,best_prob_counter,rewards,cumulative_rewards,regrets,cumulative_regrets,completion_time,algorithm
1,49,0.0982866813051822,3.0,3.0,8.01842275303739,8.01842275303739,0.04122185707092285,ThompsonBetaBinomial
2,49,0.0982866813051822,5.0,8.0,7.46095667381842,15.479379426855811,0.04340052604675293,ThompsonBetaBinomial
3,49,0.0982866813051822,0.0,8.0,7.753984401099022,23.233363827954832,0.04645562171936035,ThompsonBetaBinomial
4,49,0.0982866813051822,0.0,8.0,7.849365576880684,31.08272940483552,0.045516014099121094,ThompsonBetaBinomial
5,49,0.0982866813051822,4.0,12.0,7.566479853995358,38.64920925883088,0.04548454284667969,ThompsonBetaBinomial
6,49,0.0982866813051822,2.0,14.0,7.748845502940707,46.39805476177159,0.04504704475402832,ThompsonBetaBinomial
7,49,0.0982866813051822,0.0,14.0,6.890500521057735,53.28855528282932,0.045359134674072266,ThompsonBetaBinomial
8,49,0.0982866813051822,3.0,17.0,7.95329465432024,61.24184993714956,0.04598283767700195,ThompsonBetaBinomial
9,49,0.0982866813051822,0.0,17.0,7.409409394070116,68.65125933121968,0.0678412914276123,ThompsonBetaBinomial
10,49,0.0982866813051822,1.0,18.0,7.953881932270094,76.60514126348977,0.07637715339660645,ThompsonBetaBinomial
11,49,0.0982866813051822,2.0,20.0,7.756116857752274,84.36125812124205,0.07481837272644043,ThompsonBetaBinomial
12,49,0.0982866813051822,0.0,20.0,7.635552205810219,91.99681032705226,0.07246589660644531,ThompsonBetaBinomial
13,49,0.0982866813051822,4.0,24.0,7.953363032670105,99.95017335972237,0.07149004936218262,ThompsonBetaBinomial
14,49,0.0982866813051822,2.0,26.0,7.369357271737603,107.31953063145997,0.07142043113708496,ThompsonBetaBinomial
15,49,0.0982866813051822,3.0,29.0,7.34820702000346,114.66773765146343,0.07166194915771484,ThompsonBetaBinomial
16,49,0.0982866813051822,3.0,32.0,7.193505086433786,121.86124273789721,0.0722508430480957,ThompsonBetaBinomial
17,49,0.0982866813051822,4.0,36.0,6.979355096055611,128.8405978339528,0.07206892967224121,ThompsonBetaBinomial
18,49,0.0982866813051822,4.0,40.0,7.510081063246409,136.35067889719923,0.07172513008117676,ThompsonBetaBinomial
19,49,0.0982866813051822,2.0,42.0,7.647296715426296,143.99797561262554,0.07191014289855957,ThompsonBetaBinomial
20,49,0.0982866813051822,3.0,45.0,7.039193991963445,151.037169604589,0.07489347457885742,ThompsonBetaBinomial
21,49,0.0982866813051822,2.0,47.0,7.672074571010116,158.7092441755991,0.07178497314453125,ThompsonBetaBinomial
22,49,0.0982866813051822,2.0,49.0,7.748962032667422,166.45820620826655,0.07181072235107422,ThompsonBetaBinomial
23,49,0.0982866813051822,4.0,53.0,7.1566006588921285,173.61480686715868,0.07171893119812012,ThompsonBetaBinomial
24,49,0.0982866813051822,2.0,55.0,7.125371413862716,180.7401782810214,0.0726163387298584,ThompsonBetaBinomial
25,49,0.0982866813051822,2.0,57.0,7.155330677786682,187.89550895880808,0.07234382629394531,ThompsonBetaBinomial
26,49,0.0982866813051822,3.0,60.0,7.660797516249811,195.55630647505788,0.07226800918579102,ThompsonBetaBinomial
27,49,0.0982866813051822,3.0,63.0,6.6510596022445325,202.20736607730242,0.07210731506347656,ThompsonBetaBinomial
28,49,0.0982866813051822,3.0,66.0,7.52967852449025,209.73704460179266,0.07233953475952148,ThompsonBetaBinomial
29,49,0.0982866813051822,0.0,66.0,6.9394136958823545,216.67645829767503,0.07237529754638672,ThompsonBetaBinomial
30,49,0.0982866813051822,1.0,67.0,7.453361628473766,224.1298199261488,0.07278180122375488,ThompsonBetaBinomial
31,49,0.0982866813051822,1.0,68.0,7.240043731812599,231.3698636579614,0.0730435848236084,ThompsonBetaBinomial
32,49,0.0982866813051822,1.0,69.0,7.623262335660767,238.99312599362216,0.07281255722045898,ThompsonBetaBinomial
33,49,0.0982866813051822,3.0,72.0,6.906159438276276,245.89928543189842,0.07285380363464355,ThompsonBetaBinomial
34,49,0.0982866813051822,4.0,76.0,7.520128634233329,253.41941406613174,0.07505989074707031,ThompsonBetaBinomial
35,49,0.0982866813051822,3.0,79.0,7.152913105731878,260.5723271718636,0.07328176498413086,ThompsonBetaBinomial
36,49,0.0982866813051822,5.0,84.0,7.478764781836638,268.0510919537002,0.07398128509521484,ThompsonBetaBinomial
37,49,0.0982866813051822,4.0,88.0,7.467225112809417,275.51831706650967,0.07342672348022461,ThompsonBetaBinomial
38,49,0.0982866813051822,2.0,90.0,7.486786852097287,283.00510391860695,0.07381081581115723,ThompsonBetaBinomial
39,49,0.0982866813051822,1.0,91.0,7.127720941715967,290.1328248603229,0.07341742515563965,ThompsonBetaBinomial
40,49,0.0982866813051822,3.0,94.0,6.942257288132267,297.0750821484552,0.07387280464172363,ThompsonBetaBinomial
41,49,0.0982866813051822,4.0,98.0,7.223916375370051,304.2989985238252,0.07413411140441895,ThompsonBetaBinomial
42,49,0.0982866813051822,4.0,102.0,7.108260950159807,311.40725947398505,0.07410669326782227,ThompsonBetaBinomial
43,49,0.0982866813051822,3.0,105.0,6.695273818510624,318.10253329249565,0.07403945922851562,ThompsonBetaBinomial
44,49,0.0982866813051822,5.0,110.0,7.341350242087223,325.4438835345829,0.07477617263793945,ThompsonBetaBinomial
45,49,0.0982866813051822,3.0,113.0,6.900868669828757,332.34475220441163,0.07395291328430176,ThompsonBetaBinomial
46,49,0.0982866813051822,4.0,117.0,6.8361740477958595,339.1809262522075,0.07513236999511719,ThompsonBetaBinomial
47,49,0.0982866813051822,3.0,120.0,6.622238714486523,345.803164966694,0.07342982292175293,ThompsonBetaBinomial
48,49,0.0982866813051822,4.0,124.0,6.750111635132857,352.55327660182684,0.07365226745605469,ThompsonBetaBinomial
49,49,0.0982866813051822,3.0,127.0,6.5667423556599545,359.12001895748676,0.07361555099487305,ThompsonBetaBinomial
50,49,0.0982866813051822,7.0,134.0,7.334924412902829,366.45494337038957,0.07349038124084473,ThompsonBetaBinomial
51,49,0.0982866813051822,5.0,139.0,6.687548371543874,373.14249174193344,0.07398486137390137,ThompsonBetaBinomial
52,49,0.0982866813051822,3.0,142.0,6.497402659384056,379.6398944013175,0.07352662086486816,ThompsonBetaBinomial
53,49,0.0982866813051822,0.0,142.0,6.342158783710999,385.9820531850285,0.07351994514465332,ThompsonBetaBinomial
54,49,0.0982866813051822,2.0,144.0,6.874371131753188,392.8564243167817,0.07402896881103516,ThompsonBetaBinomial
55,49,0.0982866813051822,3.0,147.0,6.464487152706546,399.3209114694883,0.0739130973815918,ThompsonBetaBinomial
56,49,0.0982866813051822,4.0,151.0,6.5922447250670135,405.9131561945553,0.0736687183380127,ThompsonBetaBinomial
57,49,0.0982866813051822,6.0,157.0,6.094554450471362,412.0077106450267,0.07327580451965332,ThompsonBetaBinomial
58,49,0.0982866813051822,8.0,165.0,5.937415502988843,417.94512614801556,0.07317256927490234,ThompsonBetaBinomial
59,49,0.0982866813051822,3.0,168.0,5.317725431966788,423.26285157998234,0.07364487648010254,ThompsonBetaBinomial
60,49,0.0982866813051822,1.0,169.0,5.797781705985722,429.06063328596804,0.07321619987487793,ThompsonBetaBinomial
61,49,0.0982866813051822,6.0,175.0,6.137169975148361,435.1978032611164,0.07337546348571777,ThompsonBetaBinomial
62,49,0.0982866813051822,2.0,177.0,6.219363546853893,441.4171668079703,0.07337617874145508,ThompsonBetaBinomial
63,49,0.0982866813051822,2.0,179.0,6.539194260161457,447.9563610681318,0.07383036613464355,ThompsonBetaBinomial
64,49,0.0982866813051822,1.0,180.0,6.435156534804966,454.39151760293674,0.07418537139892578,ThompsonBetaBinomial
65,49,0.0982866813051822,2.0,182.0,6.8065703934138755,461.19808799635064,0.07414031028747559,ThompsonBetaBinomial
66,49,0.0982866813051822,7.0,189.0,6.9525140916806585,468.1506020880313,0.07410073280334473,ThompsonBetaBinomial
67,49,0.0982866813051822,10.0,199.0,6.728576363745336,474.8791784517766,0.07381629943847656,ThompsonBetaBinomial
68,49,0.0982866813051822,3.0,202.0,5.87066479984512,480.74984325162177,0.07427048683166504,ThompsonBetaBinomial
69,49,0.0982866813051822,3.0,205.0,6.254510564644126,487.0043538162659,0.07412505149841309,ThompsonBetaBinomial
70,49,0.0982866813051822,2.0,207.0,6.799745503448596,493.8040993197145,0.07399559020996094,ThompsonBetaBinomial
71,49,0.0982866813051822,3.0,210.0,6.4699716981319115,500.27407101784644,0.07433772087097168,ThompsonBetaBinomial
72,49,0.0982866813051822,1.0,211.0,6.3826016393045615,506.656672657151,0.07364416122436523,ThompsonBetaBinomial
73,49,0.0982866813051822,4.0,215.0,6.76249191524331,513.4191645723943,0.0737459659576416,ThompsonBetaBinomial
