times,best_arm_counter,best_prob_counter,rewards,cumulative_rewards,regrets,cumulative_regrets,completion_time,algorithm
1,116,0.09974111458359058,2.0,2.0,6.804882243672567,6.804882243672567,0.07070255279541016,ThompsonBetaBinomial
2,116,0.09974111458359058,3.0,5.0,6.087282438564984,12.892164682237551,0.0433199405670166,ThompsonBetaBinomial
3,116,0.09974111458359058,5.0,10.0,6.490436680712584,19.382601362950133,0.04362750053405762,ThompsonBetaBinomial
4,116,0.09974111458359058,3.0,13.0,6.799203424243328,26.18180478719346,0.05777859687805176,ThompsonBetaBinomial
5,116,0.09974111458359058,2.0,15.0,6.578809024392329,32.76061381158579,0.07256722450256348,ThompsonBetaBinomial
6,116,0.09974111458359058,3.0,18.0,6.564286462335786,39.32490027392158,0.07277250289916992,ThompsonBetaBinomial
7,116,0.09974111458359058,6.0,24.0,5.854883978654266,45.17978425257584,0.07219123840332031,ThompsonBetaBinomial
8,116,0.09974111458359058,3.0,27.0,6.390748570350083,51.57053282292593,0.07231783866882324,ThompsonBetaBinomial
9,116,0.09974111458359058,2.0,29.0,6.7389830288596775,58.309515851785605,0.07237696647644043,ThompsonBetaBinomial
10,116,0.09974111458359058,3.0,32.0,7.0307645917651085,65.34028044355071,0.07217741012573242,ThompsonBetaBinomial
11,116,0.09974111458359058,4.0,36.0,6.424887888779235,71.76516833232995,0.07247281074523926,ThompsonBetaBinomial
12,116,0.09974111458359058,2.0,38.0,6.214696111988125,77.97986444431808,0.07300448417663574,ThompsonBetaBinomial
13,116,0.09974111458359058,2.0,40.0,6.406041050394905,84.38590549471299,0.07334733009338379,ThompsonBetaBinomial
14,116,0.09974111458359058,3.0,43.0,6.579867762250068,90.96577325696305,0.07275557518005371,ThompsonBetaBinomial
15,116,0.09974111458359058,5.0,48.0,6.327272604842391,97.29304586180544,0.0732884407043457,ThompsonBetaBinomial
16,116,0.09974111458359058,3.0,51.0,6.476308409327535,103.76935427113297,0.07398247718811035,ThompsonBetaBinomial
17,116,0.09974111458359058,0.0,51.0,6.294034538098087,110.06338880923106,0.07423257827758789,ThompsonBetaBinomial
18,116,0.09974111458359058,4.0,55.0,5.873512958848702,115.93690176807976,0.07408714294433594,ThompsonBetaBinomial
19,116,0.09974111458359058,1.0,56.0,6.278831681652728,122.2157334497325,0.0733025074005127,ThompsonBetaBinomial
20,116,0.09974111458359058,1.0,57.0,6.22618134823011,128.4419147979626,0.07368254661560059,ThompsonBetaBinomial
21,116,0.09974111458359058,1.0,58.0,7.226980373154866,135.66889517111747,0.07337164878845215,ThompsonBetaBinomial
22,116,0.09974111458359058,2.0,60.0,6.391670009662562,142.06056518078003,0.07308506965637207,ThompsonBetaBinomial
23,116,0.09974111458359058,5.0,65.0,6.559906419525808,148.62047160030585,0.07345247268676758,ThompsonBetaBinomial
24,116,0.09974111458359058,3.0,68.0,6.7870806904678735,155.4075522907737,0.07306122779846191,ThompsonBetaBinomial
25,116,0.09974111458359058,4.0,72.0,6.270621300191857,161.67817359096557,0.0734398365020752,ThompsonBetaBinomial
26,116,0.09974111458359058,3.0,75.0,5.525559618578034,167.2037332095436,0.07344365119934082,ThompsonBetaBinomial
27,116,0.09974111458359058,4.0,79.0,6.473073774144257,173.67680698368787,0.07394146919250488,ThompsonBetaBinomial
28,116,0.09974111458359058,5.0,84.0,6.466427758011972,180.14323474169984,0.07329678535461426,ThompsonBetaBinomial
29,116,0.09974111458359058,2.0,86.0,5.809940319972215,185.95317506167206,0.07355237007141113,ThompsonBetaBinomial
30,116,0.09974111458359058,1.0,87.0,6.528536133935079,192.48171119560715,0.07310009002685547,ThompsonBetaBinomial
31,116,0.09974111458359058,6.0,93.0,6.258630203106133,198.74034139871327,0.07392454147338867,ThompsonBetaBinomial
32,116,0.09974111458359058,4.0,97.0,6.30536211630257,205.04570351501584,0.07312250137329102,ThompsonBetaBinomial
33,116,0.09974111458359058,4.0,101.0,5.929679027017459,210.97538254203332,0.07363176345825195,ThompsonBetaBinomial
34,116,0.09974111458359058,7.0,108.0,5.862390016081333,216.83777255811464,0.07274222373962402,ThompsonBetaBinomial
35,116,0.09974111458359058,4.0,112.0,6.021168951436923,222.85894150955156,0.07286381721496582,ThompsonBetaBinomial
36,116,0.09974111458359058,2.0,114.0,5.848353005192168,228.70729451474372,0.07289242744445801,ThompsonBetaBinomial
37,116,0.09974111458359058,3.0,117.0,5.9101430340298435,234.61743754877358,0.0725705623626709,ThompsonBetaBinomial
38,116,0.09974111458359058,3.0,120.0,5.983941240165385,240.60137878893897,0.07229781150817871,ThompsonBetaBinomial
39,116,0.09974111458359058,8.0,128.0,5.896391468712349,246.49777025765133,0.07261967658996582,ThompsonBetaBinomial
40,116,0.09974111458359058,6.0,134.0,6.102388541684131,252.60015879933545,0.07249617576599121,ThompsonBetaBinomial
41,116,0.09974111458359058,5.0,139.0,5.76758075658694,258.3677395559224,0.07279491424560547,ThompsonBetaBinomial
42,116,0.09974111458359058,8.0,147.0,5.949208431124048,264.31694798704643,0.07304239273071289,ThompsonBetaBinomial
43,116,0.09974111458359058,6.0,153.0,5.7419547837717975,270.05890277081824,0.07384800910949707,ThompsonBetaBinomial
44,116,0.09974111458359058,5.0,158.0,5.189316193961165,275.2482189647794,0.07404708862304688,ThompsonBetaBinomial
45,116,0.09974111458359058,4.0,162.0,5.098698248877145,280.3469172136566,0.07406806945800781,ThompsonBetaBinomial
46,116,0.09974111458359058,3.0,165.0,5.612928460644972,285.95984567430156,0.07372260093688965,ThompsonBetaBinomial
47,116,0.09974111458359058,3.0,168.0,5.84275956315558,291.80260523745716,0.07397627830505371,ThompsonBetaBinomial
48,116,0.09974111458359058,5.0,173.0,5.737857101463138,297.5404623389203,0.0740671157836914,ThompsonBetaBinomial
49,116,0.09974111458359058,2.0,175.0,5.796548577286849,303.33701091620713,0.07555937767028809,ThompsonBetaBinomial
50,116,0.09974111458359058,10.0,185.0,4.932966684740124,308.26997760094724,0.07450151443481445,ThompsonBetaBinomial
51,116,0.09974111458359058,3.0,188.0,5.421298621874014,313.6912762228213,0.0742950439453125,ThompsonBetaBinomial
52,116,0.09974111458359058,6.0,194.0,5.462913801147404,319.1541900239687,0.07430076599121094,ThompsonBetaBinomial
53,116,0.09974111458359058,5.0,199.0,4.788830741848773,323.94302076581744,0.07516050338745117,ThompsonBetaBinomial
54,116,0.09974111458359058,6.0,205.0,4.484451850635342,328.4274726164528,0.07668924331665039,ThompsonBetaBinomial
55,116,0.09974111458359058,6.0,211.0,4.5212757728656054,332.9487483893184,0.07520604133605957,ThompsonBetaBinomial
56,116,0.09974111458359058,8.0,219.0,5.571682959487734,338.52043134880614,0.07442426681518555,ThompsonBetaBinomial
57,116,0.09974111458359058,3.0,222.0,4.767837463896656,343.2882688127028,0.07524800300598145,ThompsonBetaBinomial
58,116,0.09974111458359058,4.0,226.0,5.788873340464481,349.0771421531673,0.07518339157104492,ThompsonBetaBinomial
59,116,0.09974111458359058,4.0,230.0,5.509047432737461,354.5861895859048,0.07466697692871094,ThompsonBetaBinomial
60,116,0.09974111458359058,3.0,233.0,5.530007445269657,360.1161970311744,0.0755162239074707,ThompsonBetaBinomial
61,116,0.09974111458359058,6.0,239.0,5.546159672228821,365.66235670340325,0.07381916046142578,ThompsonBetaBinomial
62,116,0.09974111458359058,4.0,243.0,5.181991484691385,370.8443481880946,0.07494306564331055,ThompsonBetaBinomial
63,116,0.09974111458359058,8.0,251.0,4.583072558279874,375.4274207463745,0.07387232780456543,ThompsonBetaBinomial
64,116,0.09974111458359058,8.0,259.0,4.5736980329386885,380.0011187793132,0.07431936264038086,ThompsonBetaBinomial
65,116,0.09974111458359058,6.0,265.0,5.048251978682829,385.04937075799603,0.07468771934509277,ThompsonBetaBinomial
66,116,0.09974111458359058,6.0,271.0,4.245871152581996,389.295241910578,0.07427501678466797,ThompsonBetaBinomial
67,116,0.09974111458359058,5.0,276.0,4.420467306415192,393.7157092169932,0.07497048377990723,ThompsonBetaBinomial
68,116,0.09974111458359058,1.0,277.0,4.637763330144716,398.3534725471379,0.07355546951293945,ThompsonBetaBinomial
69,116,0.09974111458359058,8.0,285.0,5.253724264092544,403.6071968112305,0.07407927513122559,ThompsonBetaBinomial
70,116,0.09974111458359058,6.0,291.0,5.186808206783014,408.79400501801354,0.07349014282226562,ThompsonBetaBinomial
71,116,0.09974111458359058,0.0,291.0,4.697193469485319,413.4911984874989,0.07393622398376465,ThompsonBetaBinomial
72,116,0.09974111458359058,5.0,296.0,5.039365946900685,418.53056443439954,0.07346129417419434,ThompsonBetaBinomial
73,116,0.09974111458359058,4.0,300.0,5.1965962761220625,423.7271607105216,0.07380032539367676,ThompsonBetaBinomial
74,116,0.09974111458359058,7.0,307.0,4.3243955203668145,428.0515562308884,0.07360649108886719,ThompsonBetaBinomial
75,116,0.09974111458359058,6.0,313.0,4.564801126475043,432.6163573573635,0.07324767112731934,ThompsonBetaBinomial
76,116,0.09974111458359058,5.0,318.0,4.930122907049942,437.54648026441345,0.07373213768005371,ThompsonBetaBinomial
77,116,0.09974111458359058,8.0,326.0,4.505198601409619,442.0516788658231,0.07337117195129395,ThompsonBetaBinomial
78,116,0.09974111458359058,12.0,338.0,4.116340145117814,446.1680190109409,0.07306718826293945,ThompsonBetaBinomial
79,116,0.09974111458359058,9.0,347.0,4.253046574630197,450.4210655855711,0.07368350028991699,ThompsonBetaBinomial
80,116,0.09974111458359058,7.0,354.0,3.694723545443276,454.11578913101437,0.07398581504821777,ThompsonBetaBinomial
81,116,0.09974111458359058,1.0,355.0,4.338501783225572,458.45429091423995,0.07378172874450684,ThompsonBetaBinomial
82,116,0.09974111458359058,7.0,362.0,4.399555861729986,462.85384677596994,0.07436037063598633,ThompsonBetaBinomial
83,116,0.09974111458359058,7.0,369.0,4.459459487027438,467.3133062629974,0.07448744773864746,ThompsonBetaBinomial
84,116,0.09974111458359058,5.0,374.0,3.9413802723215032,471.2546865353189,0.07470035552978516,ThompsonBetaBinomial
85,116,0.09974111458359058,4.0,378.0,4.145563246939117,475.400249782258,0.0752115249633789,ThompsonBetaBinomial
86,116,0.09974111458359058,7.0,385.0,4.248481192968646,479.64873097522667,0.07491827011108398,ThompsonBetaBinomial
87,116,0.09974111458359058,7.0,392.0,4.6439981973817375,484.2927291726084,0.07575631141662598,ThompsonBetaBinomial
88,116,0.09974111458359058,3.0,395.0,4.288548312653025,488.5812774852614,0.07504415512084961,ThompsonBetaBinomial
89,116,0.09974111458359058,3.0,398.0,4.326421507262135,492.90769899252354,0.07531046867370605,ThompsonBetaBinomial
90,116,0.09974111458359058,6.0,404.0,4.774993457423274,497.6826924499468,0.0749967098236084,ThompsonBetaBinomial
91,116,0.09974111458359058,4.0,408.0,4.1800049717412175,501.862697421688,0.07576560974121094,ThompsonBetaBinomial
92,116,0.09974111458359058,5.0,413.0,4.497649574642454,506.36034699633046,0.0751957893371582,ThompsonBetaBinomial
93,116,0.09974111458359058,5.0,418.0,4.7409541163977815,511.10130111272827,0.07554149627685547,ThompsonBetaBinomial
94,116,0.09974111458359058,3.0,421.0,4.750429275712521,515.8517303884408,0.07565903663635254,ThompsonBetaBinomial
95,116,0.09974111458359058,6.0,427.0,4.002261007400554,519.8539913958414,0.07519149780273438,ThompsonBetaBinomial
96,116,0.09974111458359058,8.0,435.0,4.570668414945266,524.4246598107867,0.0750892162322998,ThompsonBetaBinomial
97,116,0.09974111458359058,7.0,442.0,4.1144394998805405,528.5390993106672,0.09511804580688477,ThompsonBetaBinomial
98,116,0.09974111458359058,4.0,446.0,3.5973865212103697,532.1364858318776,0.1574568748474121,ThompsonBetaBinomial
99,116,0.09974111458359058,6.0,452.0,4.639347779908574,536.7758336117862,0.18410038948059082,ThompsonBetaBinomial
100,116,0.09974111458359058,4.0,456.0,4.197566909977805,540.973400521764,0.20960736274719238,ThompsonBetaBinomial
1,116,0.09974111458359058,4.0,4.0,6.984198209770372,6.984198209770372,0.9451653957366943,ThompsonGibbs
2,116,0.09974111458359058,3.0,7.0,6.15445439763409,13.138652607404463,16.81069588661194,ThompsonGibbs
3,116,0.09974111458359058,7.0,14.0,5.406995038668106,18.54564764607257,29.318519353866577,ThompsonGibbs
4,116,0.09974111458359058,4.0,18.0,4.874853471555278,23.42050111762785,42.556581258773804,ThompsonGibbs
5,116,0.09974111458359058,7.0,25.0,5.034392135461712,28.454893253089562,58.30801749229431,ThompsonGibbs
6,116,0.09974111458359058,4.0,29.0,4.825178941862517,33.280072194952076,69.58068919181824,ThompsonGibbs
7,116,0.09974111458359058,5.0,34.0,6.73392235791335,40.01399455286543,83.14837598800659,ThompsonGibbs
8,116,0.09974111458359058,4.0,38.0,5.633742808076564,45.64773736094199,96.15086793899536,ThompsonGibbs
9,116,0.09974111458359058,3.0,41.0,5.809109322413091,51.45684668335508,131.28904485702515,ThompsonGibbs
10,116,0.09974111458359058,2.0,43.0,5.598337074551799,57.05518375790688,772.1502184867859,ThompsonGibbs
11,116,0.09974111458359058,5.0,48.0,5.365942533443319,62.4211262913502,790.2826008796692,ThompsonGibbs
12,116,0.09974111458359058,3.0,51.0,5.083738488256848,67.50486477960705,807.6149580478668,ThompsonGibbs
13,116,0.09974111458359058,9.0,60.0,4.910361221884472,72.41522600149152,851.8122456073761,ThompsonGibbs
14,116,0.09974111458359058,5.0,65.0,5.527671815959427,77.94289781745094,866.4636290073395,ThompsonGibbs
15,116,0.09974111458359058,4.0,69.0,5.707841660594677,83.65073947804562,896.7087819576263,ThompsonGibbs
16,116,0.09974111458359058,5.0,74.0,5.301437880964481,88.95217735901011,908.3836243152618,ThompsonGibbs
17,116,0.09974111458359058,3.0,77.0,4.800489148371931,93.75266650738205,930.5056638717651,ThompsonGibbs
18,116,0.09974111458359058,2.0,79.0,4.997853506491668,98.75052001387371,964.5177330970764,ThompsonGibbs
19,116,0.09974111458359058,4.0,83.0,5.210901560515192,103.96142157438891,995.8212263584137,ThompsonGibbs
20,116,0.09974111458359058,5.0,88.0,5.165534446184584,109.12695602057349,999.6456954479218,ThompsonGibbs
21,116,0.09974111458359058,4.0,92.0,5.266440725858041,114.39339674643153,1022.7427387237549,ThompsonGibbs
22,116,0.09974111458359058,3.0,95.0,4.663356513633554,119.0567532600651,1057.362305879593,ThompsonGibbs
23,116,0.09974111458359058,6.0,101.0,4.656963796929992,123.71371705699508,1079.8741121292114,ThompsonGibbs
24,116,0.09974111458359058,6.0,107.0,3.4452739093955973,127.15899096639068,1091.3840560913086,ThompsonGibbs
25,116,0.09974111458359058,2.0,109.0,4.2251405674085145,131.38413153379918,1166.4678344726562,ThompsonGibbs
26,116,0.09974111458359058,6.0,115.0,3.8571801243871677,135.24131165818633,1167.711660861969,ThompsonGibbs
27,116,0.09974111458359058,7.0,122.0,4.020620011751383,139.26193166993772,1178.7737860679626,ThompsonGibbs
28,116,0.09974111458359058,8.0,130.0,2.8678280553476,142.1297597252853,1214.5953960418701,ThompsonGibbs
29,116,0.09974111458359058,10.0,140.0,2.0433645615690073,144.17312428685432,1218.5678288936615,ThompsonGibbs
30,116,0.09974111458359058,10.0,150.0,1.5277227701023004,145.7008470569566,1254.252031326294,ThompsonGibbs
31,116,0.09974111458359058,5.0,155.0,1.9640601691872188,147.6649072261438,1277.1941931247711,ThompsonGibbs
32,116,0.09974111458359058,7.0,162.0,1.999214459707447,149.66412168585126,1281.6749665737152,ThompsonGibbs
33,116,0.09974111458359058,6.0,168.0,2.2607210361359598,151.9248427219872,1326.2845361232758,ThompsonGibbs
34,116,0.09974111458359058,8.0,176.0,1.6190589633712777,153.5439016853585,1354.7354979515076,ThompsonGibbs
35,116,0.09974111458359058,10.0,186.0,2.10601331655321,155.6499150019117,1376.2598278522491,ThompsonGibbs
36,116,0.09974111458359058,6.0,192.0,1.8221914355282216,157.47210643743992,1391.0157470703125,ThompsonGibbs
37,116,0.09974111458359058,10.0,202.0,2.108364638605591,159.5804710760455,1397.4764289855957,ThompsonGibbs
38,116,0.09974111458359058,6.0,208.0,2.041754371146197,161.6222254471917,1464.2423067092896,ThompsonGibbs
39,116,0.09974111458359058,9.0,217.0,2.2995065970128263,163.92173204420453,1431.6102390289307,ThompsonGibbs
40,116,0.09974111458359058,13.0,230.0,1.2142094463414121,165.13594149054595,1451.9116933345795,ThompsonGibbs
41,116,0.09974111458359058,6.0,236.0,1.0620761078819125,166.19801759842787,1468.7688975334167,ThompsonGibbs
42,116,0.09974111458359058,13.0,249.0,1.193026003684672,167.39104360211255,1505.7549090385437,ThompsonGibbs
43,116,0.09974111458359058,8.0,257.0,1.205658111791641,168.5967017139042,1548.6076180934906,ThompsonGibbs
44,116,0.09974111458359058,8.0,265.0,0.9143792285091916,169.5110809424134,1545.5599403381348,ThompsonGibbs
45,116,0.09974111458359058,10.0,275.0,1.159690468254286,170.6707714106677,1563.0479922294617,ThompsonGibbs
46,116,0.09974111458359058,6.0,281.0,1.217382369048082,171.8881537797158,1587.5454835891724,ThompsonGibbs
47,116,0.09974111458359058,12.0,293.0,0.8812352339704181,172.7693890136862,1583.5936923027039,ThompsonGibbs
48,116,0.09974111458359058,10.0,303.0,0.6615824304326612,173.43097144411888,1610.872849225998,ThompsonGibbs
49,116,0.09974111458359058,7.0,310.0,0.7916061933204406,174.22257763743931,1645.1422595977783,ThompsonGibbs
50,116,0.09974111458359058,9.0,319.0,1.3472438736229027,175.56982151106223,1667.8195605278015,ThompsonGibbs
51,116,0.09974111458359058,8.0,327.0,1.4493780879410734,177.01919959900331,1654.9273028373718,ThompsonGibbs
52,116,0.09974111458359058,10.0,337.0,0.8383059845532713,177.8575055835566,1700.3709082603455,ThompsonGibbs
53,116,0.09974111458359058,8.0,345.0,1.0582653189088675,178.91577090246545,1697.4019830226898,ThompsonGibbs
54,116,0.09974111458359058,12.0,357.0,0.8583633697904518,179.7741342722559,1721.9281342029572,ThompsonGibbs
55,116,0.09974111458359058,10.0,367.0,0.7522208432772246,180.52635511553314,1764.4418971538544,ThompsonGibbs
56,116,0.09974111458359058,12.0,379.0,0.6083542019219901,181.13470931745513,1746.009526014328,ThompsonGibbs
57,116,0.09974111458359058,9.0,388.0,0.5758227918326881,181.7105321092878,1757.6928362846375,ThompsonGibbs
58,116,0.09974111458359058,10.0,398.0,0.5437866388836328,182.25431874817144,1784.7413654327393,ThompsonGibbs
59,116,0.09974111458359058,17.0,415.0,0.6566124301084073,182.91093117827984,1797.6482400894165,ThompsonGibbs
60,116,0.09974111458359058,12.0,427.0,0.48803450178858176,183.39896568006841,1832.7545456886292,ThompsonGibbs
61,116,0.09974111458359058,5.0,432.0,0.4614091040597804,183.8603747841282,1843.6289157867432,ThompsonGibbs
62,116,0.09974111458359058,14.0,446.0,0.4848183632204476,184.34519314734865,1877.9107377529144,ThompsonGibbs
63,116,0.09974111458359058,12.0,458.0,0.6072000749837274,184.95239322233238,1881.6142721176147,ThompsonGibbs
64,116,0.09974111458359058,11.0,469.0,0.2596093893673132,185.2120026116997,1885.4396200180054,ThompsonGibbs
65,116,0.09974111458359058,7.0,476.0,0.37397855220616727,185.58598116390584,1918.980923652649,ThompsonGibbs
66,116,0.09974111458359058,8.0,484.0,0.3039852859126609,185.8899664498185,1934.9684536457062,ThompsonGibbs
67,116,0.09974111458359058,9.0,493.0,0.37484851383319184,186.2648149636517,1948.1400790214539,ThompsonGibbs
68,116,0.09974111458359058,6.0,499.0,0.40004161734466775,186.66485658099637,1953.2337634563446,ThompsonGibbs
69,116,0.09974111458359058,10.0,509.0,0.36868095024055336,187.03353753123693,1952.1412620544434,ThompsonGibbs
70,116,0.09974111458359058,12.0,521.0,0.4181594101291518,187.4516969413661,2004.5870778560638,ThompsonGibbs
71,116,0.09974111458359058,13.0,534.0,0.4392421855472656,187.89093912691337,1988.5015149116516,ThompsonGibbs
72,116,0.09974111458359058,8.0,542.0,0.6255817629252457,188.5165208898386,2014.582375049591,ThompsonGibbs
73,116,0.09974111458359058,7.0,549.0,0.4018108320921091,188.9183317219307,2027.7302250862122,ThompsonGibbs
74,116,0.09974111458359058,2.0,551.0,0.6052490795860802,189.5235808015168,2045.5118999481201,ThompsonGibbs
75,116,0.09974111458359058,8.0,559.0,0.4506361403244371,189.97421694184123,2060.69243144989,ThompsonGibbs
76,116,0.09974111458359058,9.0,568.0,0.4961313904854815,190.47034833232672,2076.6213941574097,ThompsonGibbs
77,116,0.09974111458359058,9.0,577.0,0.5219422494066496,190.99229058173339,2095.529449939728,ThompsonGibbs
78,116,0.09974111458359058,11.0,588.0,0.5015552668522402,191.49384584858564,2119.094828605652,ThompsonGibbs
79,116,0.09974111458359058,13.0,601.0,0.45967564987705106,191.9535214984627,2120.2996683120728,ThompsonGibbs
80,116,0.09974111458359058,7.0,608.0,0.32777506502148857,192.28129656348418,2141.844405412674,ThompsonGibbs
81,116,0.09974111458359058,5.0,613.0,0.8403979567421854,193.12169452022636,2156.2812974452972,ThompsonGibbs
82,116,0.09974111458359058,7.0,620.0,0.3518046857224036,193.47349920594877,2181.356816291809,ThompsonGibbs
83,116,0.09974111458359058,9.0,629.0,0.34406356098745,193.81756276693622,2187.7294471263885,ThompsonGibbs
84,116,0.09974111458359058,11.0,640.0,0.5508519701241297,194.36841473706036,2207.244449853897,ThompsonGibbs
85,116,0.09974111458359058,13.0,653.0,0.329781574014519,194.6981963110749,2245.0439760684967,ThompsonGibbs
86,116,0.09974111458359058,13.0,666.0,0.3717516859752435,195.06994799705015,2227.909371614456,ThompsonGibbs
87,116,0.09974111458359058,6.0,672.0,0.39176786359014976,195.4617158606403,2250.2714791297913,ThompsonGibbs
88,116,0.09974111458359058,9.0,681.0,0.45157336555642635,195.91328922619672,2260.951167821884,ThompsonGibbs
89,116,0.09974111458359058,11.0,692.0,0.31454470918178834,196.2278339353785,2279.007824897766,ThompsonGibbs
90,116,0.09974111458359058,12.0,704.0,0.37140217608661663,196.5992361114651,2274.711582660675,ThompsonGibbs
91,116,0.09974111458359058,5.0,709.0,0.1804246543850646,196.77966076585017,2282.1679854393005,ThompsonGibbs
92,116,0.09974111458359058,9.0,718.0,0.35470289549502154,197.1343636613452,2325.481709241867,ThompsonGibbs
93,116,0.09974111458359058,15.0,733.0,0.28121149991055694,197.41557516125576,2328.0583889484406,ThompsonGibbs
94,116,0.09974111458359058,10.0,743.0,0.25515706352613854,197.6707322247819,2342.5754103660583,ThompsonGibbs
95,116,0.09974111458359058,15.0,758.0,0.2379266805512958,197.90865890533317,2357.6538376808167,ThompsonGibbs
96,116,0.09974111458359058,12.0,770.0,0.07975522197318269,197.98841412730636,2377.4345786571503,ThompsonGibbs
97,116,0.09974111458359058,10.0,780.0,0.22737797584176517,198.21579210314812,2367.570873737335,ThompsonGibbs
98,116,0.09974111458359058,13.0,793.0,0.18992540031289923,198.405717503461,2395.0861988067627,ThompsonGibbs
99,116,0.09974111458359058,9.0,802.0,0.07975522197318269,198.4854727254342,2403.2588789463043,ThompsonGibbs
100,116,0.09974111458359058,10.0,812.0,0.16208375563002947,198.6475564810642,2135.9400351047516,ThompsonGibbs
1,116,0.09974111458359058,4.0,4.0,6.567171119153755,6.567171119153755,0.6178369522094727,ThompsonSUN_SMC
2,116,0.09974111458359058,3.0,7.0,6.568147510970607,13.135318630124363,7.650003671646118,ThompsonSUN_SMC
